0,1,2
56,59,100
52,51,94
47,33,50
43,21,32
41,14,22
41,12,17
39,10,14
38,10,14
38,9,10
34,8,8
34,7,6
34,6,5
33,5,3
32,4,2
31,4,2
31,4,2
33,4,1
30,4,1
29,4,1
28,3,1
24,3,1
23,3,2
24,3,1
24,3,1
21,3,1
22,3,1
23,3,1
22,3,1
24,4,1
28,5,1
31,7,1
32,9,2
33,11,2
41,14,3
36,17,3
35,18,3
37,21,4
38,18,4
41,16,4
43,13,4
45,13,4
45,10,5
46,12,5
48,11,6
50,12,8
54,14,13
61,18,17
61,19,16
53,18,15
48,16,19
50,16,23
48,19,30
49,22,34
50,21,36
51,21,36
49,19,33
50,17,30
48,16,30
47,14,24
45,12,19
42,10,14
41,8,10
38,7,7
37,6,5
37,5,4
38,5,3
37,4,3
37,4,3
36,4,2
34,4,1
31,3,1
33,3,1
28,3,1
26,3,1
26,3,1
25,3,1
24,3,1
25,3,1
25,4,1
25,4,1
28,4,1
29,5,1
31,6,2
32,8,2
35,11,2
37,15,3
39,18,3
38,21,4
39,20,4
43,18,4
41,15,5
47,16,6
47,15,7
53,16,10
51,13,10
52,16,11
51,18,15
57,20,26
72,27,41
70,27,34
61,28,32
57,27,40
54,31,44
58,45,49
59,43,60
56,35,51
55,30,44
54,48,41
64,59,39
84,100,32
100,88,21
91,66,11
73,56,6
55,41,4
39,32,3
34,31,2
30,24,3
27,19,2
25,18,1
24,16,1
21,15,1
19,6,1
20,7,1
22,8,1
25,12,1
27,18,1
28,13,1
28,15,1
28,14,1
27,12,1
24,12,1
24,13,1
24,14,1
20,12,1
22,14,1
23,17,1
23,20,1
26,23,1
26,24,1
31,30,1
30,23,1
31,23,1
32,22,1
27,14,1
34,17,2
35,20,2
34,13,1
35,15,2
33,16,2
33,14,3
34,12,2
35,14,2
32,11,2
31,10,2
29,10,1
29,9,1
31,7,1
27,7,1
24,6,1
24,9,1
25,7,1
27,7,1
26,6,1
28,6,1
30,6,1
31,6,1
32,7,1
32,6,1
32,6,1
33,5,1
32,5,1
36,5,1
36,4,1
35,10,1
34,4,1
36,4,1
37,4,1
36,3,1
37,4,1
44,4,1
43,5,1
45,7,1
45,8,1
46,9,1
48,9,1
48,10,1
49,10,1
50,12,1
49,13,1
49,16,2
49,18,2
50,18,2
48,19,2
50,16,1
50,15,2
50,15,3
59,14,3
58,16,4
56,12,5
59,14,6
56,13,6
58,15,9
74,19,10
91,23,9
95,23,6
81,16,6
62,11,3
53,9,4
48,7,3
41,6,3
39,7,3
41,7,3
40,7,4
43,7,4
43,8,5
44,8,5
43,8,6
46,9,6
47,9,7
45,9,5
48,9,5
46,8,5
53,8,6
54,8,5
50,7,5
55,6,5
52,5,4
47,5,3
50,4,3
47,4,2
46,6,2
44,4,2
45,4,2
43,4,1
43,4,1
40,4,1
41,4,1
45,7,1
45,7,2
48,8,1
48,10,2
51,12,2
52,14,3
53,16,5
60,20,5
61,22,8
72,26,14
73,27,22
75,25,22
78,26,24
90,28,38
88,30,37
79,30,33
81,28,39
80,25,32
84,21,22
67,15,12
58,11,7
52,10,6
50,9,5
