0,1,2,3
56,59,37,100
52,51,34,94
47,33,30,50
43,21,30,32
41,14,27,22
41,12,29,17
39,10,30,14
38,10,30,14
38,9,29,10
34,8,27,8
34,7,28,6
34,6,27,5
33,5,28,3
32,4,30,2
31,4,27,2
31,4,29,2
33,4,29,1
30,4,27,1
29,4,27,1
28,3,26,1
24,3,24,1
23,3,25,2
24,3,25,1
24,3,23,1
21,3,23,1
22,3,21,1
23,3,23,1
22,3,21,1
24,4,25,1
28,5,27,1
31,7,27,1
32,9,25,2
33,11,26,2
41,14,26,3
36,17,26,3
35,18,26,3
37,21,26,4
38,18,27,4
41,16,28,4
43,13,27,4
45,13,28,4
45,10,30,5
46,12,34,5
48,11,29,6
50,12,31,8
54,14,35,13
61,18,42,17
61,19,39,16
53,18,31,15
48,16,29,19
50,16,31,23
48,19,33,30
49,22,33,34
50,21,32,36
51,21,33,36
49,19,30,33
50,17,31,30
48,16,31,30
47,14,32,24
45,12,31,19
42,10,28,14
41,8,31,10
38,7,30,7
37,6,29,5
37,5,30,4
38,5,31,3
37,4,32,3
37,4,30,3
36,4,29,2
34,4,29,1
31,3,26,1
33,3,25,1
28,3,26,1
26,3,24,1
26,3,23,1
25,3,22,1
24,3,23,1
25,3,23,1
25,4,24,1
25,4,24,1
28,4,26,1
29,5,27,1
31,6,27,2
32,8,26,2
35,11,28,2
37,15,27,3
39,18,27,3
38,21,25,4
39,20,25,4
43,18,28,4
41,15,26,5
47,16,29,6
47,15,30,7
53,16,32,10
51,13,34,10
52,16,35,11
51,18,29,15
57,20,36,26
72,27,47,41
70,27,44,34
61,28,36,32
57,27,30,40
54,31,32,44
58,45,37,49
59,43,39,60
56,35,39,51
55,30,37,44
54,48,38,41
64,59,47,39
84,100,68,32
100,88,100,21
91,66,84,11
73,56,71,6
55,41,54,4
39,32,35,3
34,31,27,2
30,24,23,3
27,19,22,2
25,18,23,1
24,16,21,1
21,15,22,1
19,6,19,1
20,7,23,1
22,8,23,1
25,12,29,1
27,18,35,1
28,13,37,1
28,15,38,1
28,14,34,1
27,12,34,1
24,12,30,1
24,13,28,1
24,14,28,1
20,12,25,1
22,14,26,1
23,17,25,1
23,20,25,1
26,23,27,1
26,24,26,1
31,30,30,1
30,23,29,1
31,23,29,1
32,22,24,1
27,14,26,1
34,17,27,2
35,20,32,2
34,13,31,1
35,15,30,2
33,16,28,2
33,14,27,3
34,12,30,2
35,14,32,2
32,11,29,2
31,10,24,2
29,10,25,1
29,9,25,1
31,7,25,1
27,7,27,1
24,6,23,1
24,9,23,1
25,7,25,1
27,7,23,1
26,6,24,1
28,6,24,1
30,6,25,1
31,6,29,1
32,7,25,1
32,6,29,1
32,6,28,1
33,5,28,1
32,5,29,1
36,5,27,1
36,4,28,1
35,10,28,1
34,4,29,1
36,4,28,1
37,4,29,1
36,3,29,1
37,4,33,1
44,4,34,1
43,5,33,1
45,7,37,1
45,8,38,1
46,9,40,1
48,9,40,1
48,10,44,1
49,10,44,1
50,12,48,1
49,13,43,1
49,16,40,2
49,18,44,2
50,18,42,2
48,19,43,2
50,16,40,1
50,15,43,2
50,15,47,3
59,14,44,3
58,16,44,4
56,12,41,5
59,14,48,6
56,13,42,6
58,15,47,9
74,19,72,10
91,23,90,9
95,23,87,6
81,16,75,6
62,11,55,3
53,9,42,4
48,7,34,3
41,6,32,3
39,7,28,3
41,7,29,3
40,7,30,4
43,7,31,4
43,8,34,5
44,8,34,5
43,8,36,6
46,9,36,6
47,9,38,7
45,9,39,5
48,9,39,5
46,8,40,5
53,8,45,6
54,8,47,5
50,7,46,5
55,6,46,5
52,5,43,4
47,5,43,3
50,4,43,3
47,4,45,2
46,6,45,2
44,4,44,2
45,4,41,2
43,4,43,1
43,4,39,1
40,4,39,1
41,4,39,1
45,7,46,1
45,7,42,2
48,8,44,1
48,10,44,2
51,12,44,2
52,14,43,3
53,16,41,5
60,20,43,5
61,22,46,8
72,26,46,14
73,27,52,22
75,25,51,22
78,26,52,24
90,28,59,38
88,30,55,37
79,30,54,33
81,28,55,39
80,25,61,32
84,21,62,22
67,15,49,12
58,11,42,7
52,10,41,6
52,9,42,5
